,Article Number,Article Title,Part,Part Title
129,118,Rules of procedure.,PART V,THE UNION  CHAPTER  I.THE EXECUTIVE  The President and Vice-President
130,119,Regulation by law of procedure in Parliament in relation to  financial business.,PART V,THE UNION  CHAPTER  I.THE EXECUTIVE  The President and Vice-President
131,120,Language to be used in Parliament.,PART V,THE UNION  CHAPTER  I.THE EXECUTIVE  The President and Vice-President
132,121,Restriction on discussion in Parliament.,PART V,THE UNION  CHAPTER  I.THE EXECUTIVE  The President and Vice-President
133,122,Courts not to inquire into proceedings of Parliament.    CHAPTER III. LEGISLATIVE  POWERS OF THE  PRESIDENT,PART V,THE UNION  CHAPTER  I.THE EXECUTIVE  The President and Vice-President
134,123,Power of President to promulgate Ordinances during recess of   Parliament.   CHAPTER IV.  THE UNION JUDICIARY,PART V,THE UNION  CHAPTER  I.THE EXECUTIVE  The President and Vice-President
135,124,Establishment and constitution of  the  Supreme Court.,PART V,THE UNION  CHAPTER  I.THE EXECUTIVE  The President and Vice-President
136,124A,National Judicial Appointment s Commission.,PART V,THE UNION  CHAPTER  I.THE EXECUTIVE  The President and Vice-President
137,124B,Functions of Commission.,PART V,THE UNION  CHAPTER  I.THE EXECUTIVE  The President and Vice-President
138,124C,Power of Parliament to make law.,PART V,THE UNION  CHAPTER  I.THE EXECUTIVE  The President and Vice-President
139,125,"Salaries, etc., of Judges.",PART V,THE UNION  CHAPTER  I.THE EXECUTIVE  The President and Vice-President
140,126,Appointment of acting Chief Justice.,PART V,THE UNION  CHAPTER  I.THE EXECUTIVE  The President and Vice-President
141,127,Appointment of  ad hoc Judges.,PART V,THE UNION  CHAPTER  I.THE EXECUTIVE  The President and Vice-President
142,128,Attendance of retired Judges at sittings of the Supreme Court.,PART V,THE UNION  CHAPTER  I.THE EXECUTIVE  The President and Vice-President
143,129,Supreme Court to be a court of record.,PART V,THE UNION  CHAPTER  I.THE EXECUTIVE  The President and Vice-President
144,130,Seat of Supreme Court.,PART V,THE UNION  CHAPTER  I.THE EXECUTIVE  The President and Vice-President
145,131,Original jurisdiction of the Supreme Court.    [,PART V,THE UNION  CHAPTER  I.THE EXECUTIVE  The President and Vice-President
146,131A,Exclusive jurisdiction of the Supreme Court in re gard to questions  as to constitutional validity of Central laws. Omitted.],PART V,THE UNION  CHAPTER  I.THE EXECUTIVE  The President and Vice-President
147,132,Appellate jurisdiction of the Supreme Court in appeals from  High Courts in certain cases.,PART V,THE UNION  CHAPTER  I.THE EXECUTIVE  The President and Vice-President
148,133,Appellate jurisdiction of the Supreme Court in appeals from  High Courts in regard to civil matters.,PART V,THE UNION  CHAPTER  I.THE EXECUTIVE  The President and Vice-President
149,134,Appellate jurisdiction of the Supreme Court in regard to criminal  matters.,PART V,THE UNION  CHAPTER  I.THE EXECUTIVE  The President and Vice-President
150,134A,Certificate for appeal to the Supreme Court.,PART V,THE UNION  CHAPTER  I.THE EXECUTIVE  The President and Vice-President
151,135,Jurisdiction and powers of the Federal Court under existing law  to be exercisable by the Supreme Court.,PART V,THE UNION  CHAPTER  I.THE EXECUTIVE  The President and Vice-President
152,136,Special leave to appeal by the Supreme Court.,PART V,THE UNION  CHAPTER  I.THE EXECUTIVE  The President and Vice-President
153,137,Review of judgments or orders by the Supreme Court.,PART V,THE UNION  CHAPTER  I.THE EXECUTIVE  The President and Vice-President
154,138,Enlargement of the jurisdiction of the Supreme Court.,PART V,THE UNION  CHAPTER  I.THE EXECUTIVE  The President and Vice-President
155,139,Conferment on the Supreme Court of powers to issue certain  writs.,PART V,THE UNION  CHAPTER  I.THE EXECUTIVE  The President and Vice-President
156,139A,Transfer of certain cases.,PART V,THE UNION  CHAPTER  I.THE EXECUTIVE  The President and Vice-President
157,140,Ancillary powers of the Supreme Court.,PART V,THE UNION  CHAPTER  I.THE EXECUTIVE  The President and Vice-President
158,141,Law declared by Supreme Court to be binding on all courts.,PART V,THE UNION  CHAPTER  I.THE EXECUTIVE  The President and Vice-President
159,142,"Enforcement of decrees and orders of the Supreme Court and  orders as to discovery, etc.",PART V,THE UNION  CHAPTER  I.THE EXECUTIVE  The President and Vice-President
160,143,Power of the President to consult the Supreme Court.,PART V,THE UNION  CHAPTER  I.THE EXECUTIVE  The President and Vice-President
161,144,Civil and judicial authorities to act in aid of the Supreme     Court.  [,PART V,THE UNION  CHAPTER  I.THE EXECUTIVE  The President and Vice-President
162,144A,Special provisions as to disposal of questions relating to  constitutional validity of laws. Omitted.],PART V,THE UNION  CHAPTER  I.THE EXECUTIVE  The President and Vice-President
163,145,"Rules of Court, etc.",PART V,THE UNION  CHAPTER  I.THE EXECUTIVE  The President and Vice-President
164,146,Officers and servants and the expenses of the Supreme Court.,PART V,THE UNION  CHAPTER  I.THE EXECUTIVE  The President and Vice-President
165,147,Interpretation.   CHAPTER V. COMPTROLLER AND AUDITOR- GENERAL OF INDIA,PART V,THE UNION  CHAPTER  I.THE EXECUTIVE  The President and Vice-President
166,148,Comptroller and Auditor-General of India.,PART V,THE UNION  CHAPTER  I.THE EXECUTIVE  The President and Vice-President
167,149,Duties and powers of the Comptroller and Auditor-General.,PART V,THE UNION  CHAPTER  I.THE EXECUTIVE  The President and Vice-President
168,150,Form of accounts of the Union and of the States.,PART V,THE UNION  CHAPTER  I.THE EXECUTIVE  The President and Vice-President
169,151,Audit reports.,PART V,THE UNION  CHAPTER  I.THE EXECUTIVE  The President and Vice-President
170,152,Definition.,PART VI,THE STATES  CHAPTER I.  GENERAL
171,153,Governors of States.,PART VI,THE STATES  CHAPTER I.  GENERAL
172,154,Executive power of State.,PART VI,THE STATES  CHAPTER I.  GENERAL
173,155,Appointment of Governor.,PART VI,THE STATES  CHAPTER I.  GENERAL
174,156,Term of office of Governor.,PART VI,THE STATES  CHAPTER I.  GENERAL
175,157,Qualifications for appointment as Governor.,PART VI,THE STATES  CHAPTER I.  GENERAL
176,158,Conditions of Governor’s office.,PART VI,THE STATES  CHAPTER I.  GENERAL
177,159,Oath or affirmation by the Governor.,PART VI,THE STATES  CHAPTER I.  GENERAL
178,160,Discharge of the functions of the Governor in certain  contingencies.,PART VI,THE STATES  CHAPTER I.  GENERAL
179,161,"Power of Governor to grant pardons, etc., and to suspend, remit  or commute sentences in certain cases.",PART VI,THE STATES  CHAPTER I.  GENERAL
180,162,Extent of executive power of the State.   Council of Ministers,PART VI,THE STATES  CHAPTER I.  GENERAL
181,163,Council of Ministers to aid and advise Governor.,PART VI,THE STATES  CHAPTER I.  GENERAL
182,164,Other provisions as to Ministers.   The Advocate-General for the State,PART VI,THE STATES  CHAPTER I.  GENERAL
183,165,Advocate-General for the State.   Conduct of Government Business,PART VI,THE STATES  CHAPTER I.  GENERAL
184,166,Conduct of business of the Government of a State.,PART VI,THE STATES  CHAPTER I.  GENERAL
185,167,"Duties of Chief Minister as respects the furnishing of  information to Governor, etc.   CHAPTER III. THE STATE LEGISLATURE  General",PART VI,THE STATES  CHAPTER I.  GENERAL
186,168,Constitution of Legislatures in States.,PART VI,THE STATES  CHAPTER I.  GENERAL
187,169,Abolition or creation of Legislative Councils in States.,PART VI,THE STATES  CHAPTER I.  GENERAL
188,170,Composition of the Legislative Assemblies.,PART VI,THE STATES  CHAPTER I.  GENERAL
189,171,Composition of the Legislative Councils.,PART VI,THE STATES  CHAPTER I.  GENERAL
190,172,Duration of State Legislatures.,PART VI,THE STATES  CHAPTER I.  GENERAL
191,173,Qualification for membership of the State Legislature.,PART VI,THE STATES  CHAPTER I.  GENERAL
192,174,"Sessions of the State Legislature, prorogation and dissolution.",PART VI,THE STATES  CHAPTER I.  GENERAL
193,175,Right of Governor to address and send messages to the House or  Houses.,PART VI,THE STATES  CHAPTER I.  GENERAL
194,176,Special address by the Governor.,PART VI,THE STATES  CHAPTER I.  GENERAL
195,177,Rights of Ministers and Advocate-General as respects the  Houses.   Officers of the State Legislature,PART VI,THE STATES  CHAPTER I.  GENERAL
196,178,The Speaker and Deputy Speaker of the Legislative Assembly.,PART VI,THE STATES  CHAPTER I.  GENERAL
197,179,"Vacation and resignation of, and removal from, the offices of  Speaker  and Deputy Speaker.",PART VI,THE STATES  CHAPTER I.  GENERAL
198,180,"Power of the Deputy Speaker or other person to perform the  duties of the office of, or to act as, Speaker.",PART VI,THE STATES  CHAPTER I.  GENERAL
